ratings,reviews,user,date
1,"Your browser does not support HTML5 video.


   Like other reviewers, I liked this mouse for the first month--it was quiet and worked as it should. However, four weeks in and the ball for scrolling squeaks non-stop with use. There isn't any way to make it stop short of a hammer, which trust me, is coming. Of course it is just past the return date, so I get to simply wave goodbye to my money.",Doc,"September 22, 2017"
5,"Your browser does not support HTML5 video.


   Got a surprise when opened the box. Nice feeling of touch. Very quiet in use. light and smooth. Hope it works well with battery",Sigrid Koo,"March 19, 2019"
5,"For the price this mouse is quite good. The top is soft touch material, and the buttons have very quiet click sounds. I also like that the mouse goes to sleep when not in use, and you need to click to wake it. That way accidental table bumps or cats jumping on your desk won't wake your PC.About the only thing I was disappointed in was the wheel. Being a ball, I thought it freely rotated in all directions for side scrolling. It's actually just a wheel for vertical scrolling, though it works just fine. I won't take a star away because it's such a bargain, but be aware it's not actually a ball!====UPDATE====It's been almost a year, and the mouse still performs as it should. It doesn't even seem to go through the battery very fast.",MonkeyPaw,"March 21, 2017"
5,"Great wireless mouse. I love that it has an on/off switch on the bottom for easy transport. The little usb transmitter also tucks away on the underside for secure storage. This is not a tiny wireless mouse, it is more of a compact full size mouse. It’s comfortable and not too big/small. It takes a single AA battery, not included.This mouse has solid wireless capabilities. I have a laptop in a cabinet with a monitor on top and can use this mouse to control my security software from at least 12’ away. I can use it on a smooth wood surface without a mouse pad and the unit remains responsive. I’m very happy with this purchase and would definitely recommend.See my pics for size reference and basic product details.",AmazonCustomer,"October 5, 2017"
5,"I don't really write that many reviews on Amazon. I just don't have the time, which is unfair bc I base every purchase on the reviews people have created the time to assist others with their purchases. I was at a meeting last week and noticed all my coworkers have stopped using traditional corded mice and started using the wireless ones. I found this mouse had great reviews and nice color options. It came in yesterday and BLEW AWAY MY EXPECTATIONS. The click feels so good, I know that sounds weird but not too hard or not too soft. Everything is ergonomic. I am so happy with this purchase.",DJW,"March 13, 2017"
1,"Update 9/21/17: After initially leaving positive feedback for this product, I feel obliged to update my initial review. I advise you not to buy the mouse if you are looking for one that lasts longer than a week. The mouse just doesn't work smoothly overall (read: it is not what you are looking for); the interruption when moving across the screen is so great that the mouse is simply useless (I attempted to solve the issues in various ways - from changing the battery to cleaning the mouse to trying to use it on different (types of) surfaces - without luck).",KM,"September 16, 2017"
1,"DO NOT BUY THIS MOUSE. i know it's cheap, i know it comes in great colors, but honestly just save your money. all of the positive reviews are from people who evaluated this thing right out of the box. i probably would have said the same thing as most of them. it's lightweight, slides around well, fairly durable. but after just 3 months of using it just 3 days a week, it crapped the bed. it still turns on, the sensor light flashes, clickers work, etc, but it seems to have lost connection with the USB so my computer won't pick it up, rendering it useless. no reason. i didn't drop it or fiddle with it. i've tried changing the batteries out to no avail. if i'd have known i would have just paid more for a better mouse, since that's economically what i'm ending up doing anyway.don't be me! learn from my mistake. live your best life with your best mouse (which i assure you, is not this mouse).",chelizabeth,"December 15, 2017"
3,"Lightweight and streamline, the click is barely audible but registers through my fingertip which I adapted to right away. Fits comfortably in my slightly small hand. The battery cover fits firmly but there is a long slot which makes it easy to remove. Great little mouse, and pretty too.UPDATE: After 3 months of daily use, the ball started squeaking and losing responsiveness. After 3 and a half months I needed to replace it. I will keep it as a back-up, but it is not responsive enough for daily use.",Lawren Freebody,"July 26, 2017"
5,"So far so good! I'll let you know if there is any changes. Just as described there is a silent click (no sound) works great and feels good!Update: I have since ordered another one because I loved the first one so much! This mouse has a great range and an excellence ""silent"" click, above all a wonderful feel! This is perfect for anyone in the home office a student going to college or just for personal use at home I would highly recommend!",Gabriel Martinez,"October 19, 2016"
5,"Your browser does not support HTML5 video.


   I really like that it was easy to set up with my laptop.  The colors are great, and its very quiet.  I got  because my baby can hear a pin drop and she doesn't wake up when I click. it sometimes need an easy shake when in sleep mode but I don't think that's as issue. you'll know when it needs a new battery. it takes one AA battery. I didn't show the lil piece that plugs into the computer but its small and stays on the side of your computer in the USB outlet",Melissa Teller,"March 17, 2020"
1,"This mouse didn’t even last me two full days. It stopped working by the second day. I changed the batteries to new ones three times and tried it on different laptops, and it would work for 5 seconds but then start lagging right away until it became unresponsive. I suspect the problem came from the USB Receiver. The light on the mouse stayed on the entire time it was unresponsive, which means the mouse worked, but the connection to the USB didn’t. So that pretty much renders it useless. It’s a shame because it was really cute and lightweight. It was quiet, too. But you’re better off buying an “uglier” Logitech mouse that will actually last you a few years. Oh well, you win some you lose some.",Velvet Thunder,"March 29, 2019"
